
拡張データ用 画像識別子一覧

ここに載っていない識別子の付与については、
３文字を基本として他と被らないものにして下さい。


--識別子 アルファベット順-------------------------------------------
--------------------------------------------------------------------
3X3_       ３×３ＥＹＥＳ
EOTS_      狂科学ハンターＲＥＩ
EST_       エストポリス伝記
EXL_       エクセルサーガ
EXT_	   EXTRAVAGANZA～蟲愛でる少女～
F17_       フィギュア１７
FAC_       フルアヘッド！ココ
FAF_       餓狼伝説
FATE_	   Fate／stay night
FBC_       未来少年コナン
FEA_　　　 ファイアーエムブレム外伝
FED_　　　 ファイアーエムブレム　暗黒竜と光の剣
FEF_       ファイアーエムブレム烈火の剣
FEG_　　　 ファイアーエムブレム　聖戦の系譜
FEM_　　　 ファイアーエムブレム　紋章の謎
FES_       ファイアーエムブレム封印の剣
FET_　　　 ファイアーエムブレム　トラキア７７６
FEOE0_     天外魔境ＺＥＲＯ
FEOE2_     天外魔境Ⅱ
FEOEK_     天外魔境風雲カブキ伝
FF02_      ファイナルファンタジーⅡ
FF04_      ファイナルファンタジーⅣ
FF05_      ファイナルファンタジーⅤ
FF06_      ファイナルファンタジーⅥ
FF07_      ファイナルファンタジーⅦ
FF07BC_	   ファイナルファンタジーⅦビフォアクライシス
FF07CC_	   ファイナルファンタジーⅦクライシスコア
FF07DC_	   ファイナルファンタジーⅦダージュオブケルベロス
FF08_      ファイナルファンタジーⅧ
FF09_      ファイナルファンタジーⅨ
FF10_      ファイナルファンタジーⅩ
FFT_       ファイナルファンタジータクティクス
FFUSA_     ファイナルファンタジーＵＳＡ
FIRE_      ファイヤーマン
FMA_	   鋼の錬金術師
FMX_       ファイターズメガミックス
FOR_       烈火の炎
FPU_       未来警察ウラシマン
FPV_　　　 未来警察暴力課
FQ_	   フォーチュンクエスト
FRH_       宇宙英雄物語
FS_	   風来のシレン
FSW_	   ファイアスノーの風
FY_        ふしぎ遊戯
G13_       ゴルゴ１３
GA_        熱血！大冒険大陸
GANR_      燃えよ！ロボコン
GATR_	   ガジェットトライアル
GB_        ガンバード
GBW_       GUN BLAZE WEST
GCHAN_     サイボーグじいちゃんＧ
GDS_       ガープス妖魔夜行
GEGEGE_    ゲゲゲの鬼太郎
GEHENNA_   ゲヘナ
GEKKA_     幕末浪漫 月華の剣士
GEM_       完殺者真魅
GEOBRE_    ジオブリーダーズ
GFU_       ギャラクシーファイト
GFY_       銀河お嬢様伝説ユナ(等身大)
GH_        ガンヘッド
GIS_       攻殻機動隊
GK_        月光仮面
GKS_       ゲートキーパーズ
GMRH_      ガメラ
GMW_       幻魔大戦
GNG_       銀牙～流れ星銀～
GNS_	   頑丈人間スパルタカス
GODDESS_　 ああっ女神さまっ
GOE_       がんばれゴエモン
GOLI_      宇宙猿人ゴリ
GFMD_	   月風魔伝
GR_　　　　ガーディアンリコール
GRD8_　　　護衛神エイト
GRANDIA_   GRANDIA
GRANDIA2_  グランディアⅡ
GRANDIAX_  グランディアエクストリーム
GSM_       ＧＳ美神極楽大作戦！！
GSSD_      幻想水滸伝
GSSSG_     行殺新選組
Guilty_　　ＧＵＩＬＴＹ ＧＥＡＲ
GUN_       ＧＯＤＡＧＵＮ
GUNNM_     銃夢
Guyferd_   七星闘神ガイファード
GVN_       宇宙刑事ギャバン
GWL_       ジェネレイターガウル
GXA_       ギャラクシーエンジェル
H&TOA_     花子と寓話のテラー
HAN_　　　 ハイパーあんな
HAMELN_	   ハーメルンのバイオリン弾き
HAUN_      ＨＡＵＮＴＥＤじゃんくしょん
HB_        アイドル防衛隊ハミングバード
HCA_	   聖結晶アルバトロス
HELL_	   HELLSING
HERO_      自由人ＨＥＲＯ
HEROM_	   HEROMAN
HIGURASHI_ ひぐらしのなく頃に
HITMAN_	   HITMAN
HJH_       半熟英雄
HK_        北斗の拳
HKD_       人造人間ハカイダー
HKRG_      ヒカルの碁
HLKS_      ハーロックサーガ
HLOA_      アルスラーン戦記
HMM_　　　 ハンドメイドMay
HN_        炎のニンジャマン
HNA_       変身忍者嵐
HNS_	   惑星のさみだれ
HORLA_     オルラ
HOUSHIN_   封神演義(藤崎竜)	 
HP_        はいぱーぽりす
HPC_	   ふたりはプリキュア
HSA_       変幻戦忍アスカ
HSGM_      ＨＯＳＨＩＧＡＭＩ～沈みゆく蒼き大地～
HT_        炎の転校生
HTKTNO_	   ヒトカタノオウ
HVF_       はるかぜ戦隊Ｖフォース
HxH_	   HUNTERxHUNTER
IKAMUS_    侵略！イカ娘
IKKI_	   いっき
INS_　　　 淫獣聖戦
INU_       犬夜叉
IOTP_	   惑星をつぐ者
IRENE_	   ゴージャス☆アイリン
irongiant_ アイアンジャイアント
IWW_	   すばらしきこのせかい
JESUS_     ＪＥＳＵＳ
JMF_       ジョイメカファイト
JOJO_      ジョジョの奇妙な冒険(波紋使い)
JOJO-SBR_  ジョジョの奇妙な冒険スティール・ボール・ラン
JP_        特捜ロボジャンパーソン
JSG_　　　 私立ジャスティス学園
JSP_       巨獣特捜ジャスピオン
JUBE_      十兵衛ちゃん～ラブリー眼帯の秘密～
JYAJYA0_   忍者じゃじゃ丸くん
K&S_       清村くんと杉小路くんと
KAGE_　　　ザ･カゲスター
KAGURA_    閃乱カグラ
KAKUGO_    覚悟のススメ
KARATE_	   カラテカ
KBJ_       KINGofBANDITJING
KD01_      キカイダー０１
KDN_       宇宙鉄人キョーダイン
KDR_       人造人間キカイダー
KERBEROS_  犬狼伝説
KERU_	   変身王子ケエル
KEY_       ＫＥＹ・ＴＨＥ・ＭＥＴＡＬＩＤＯＬ
KGBT_      金剛番長
KIKOKU_    鬼哭街
KIN_　　　 キン肉マン
KINO_      キノの旅
KISEIJU_   寄生獣
KJO_       孔雀王
KKM_       究極戦隊コウガマン
KKMN_	   けっこう仮面
KN_　　　　Kanon
KMT_       かってに桃天使！
KOD_       小娘オーバードライブ
KOF_       ザ・キング・オブ・ファイターズ
KRC_       からくりサーカス
KRG_       黒鉄
KT_        風使い
KTKN_      カエルの為に鐘は鳴る
KTM_	   塊魂
KUON_      久遠の絆
LAL_	   ライブ・ア・ライブ
LAMPO_	   LAMPO
LAST_      ＬａｄｙＳｔａｌｋｅｒ～過去からの挑戦～
LF_        リーフファイト９７
           リーフ関連
LFMA_　　　まじかる☆アンティーク
LFMG_      君が呼ぶ、メギドの丘で
LFT3_	   Tears to Tiara
LFUM_      うたわれるもの
LGH_       銀河英雄伝説
LINDA3_    リンダキューブ
LIONG_	   ライオン丸Ｇ
LOA_       エンジェル伝説
LOLIP_	   ロリコンフェニックス
LODOSS_　　ロードス島戦記
Locke_     超人ロック
LP_        ラ・ピュセル～光の聖女伝説～
LSE_	   愛と哀しみのエスパーマン
LU_        ロスト・ユニバース
LUNAR1_    ルナ・シルバースターストーリー
LUNAR2_    ルナ２・エターナルブルー
LUPIN3_    ルパン三世
LVHN_　　　ラブひな
M_         汎用(等身大)
           汎用ファンタジーヒューマノイド
           汎用ファンタジーモンスター
M&S_       メイドさんと大きな剣
MACH_      マッハＧｏＧｏＧｏ
MUDMEN_    マッドメン
MAGICA_	   魔法少女まどか☆マギカ
MAHOTAI_　 魔法使いTai！
MAHORO_    まほろまてぃっく
MARIONETTE_ Marionette-糸使い-
MAPS_      マップス
matrix_    マトリックス
MB_        MissingBlue
MCK_　　　 六門天外☆モンコレナイト
MCM_       星雲仮面マシンマン
MDB_       MinDeaD BlooD
MDO_       魔導物語
MDR_       超人機メタルダー
MELTY_     メルティランサー
MERI+DIA_  MERI+DIA
METAV_     ひみつ戦隊メタモルⅤ
METALK_    メタルＫ
MEZZO_	   MEZZO
MF_	   モンスターファーム２・１
MCG_       魔法陣グルグル
MGG_       夢幻街
MGPS_      魔法少女プリティサミー
MGS_       メタルギアソリッド
MH_        舞-HiME
MHD_       舞-HiMEプロジェクト
MHR_       舞-HiMEプロジェクト
MHO_	   モンスターハンターオラージュ
MHY_       魔物ハンター妖子
MIND_      マインドアサシン
MIRROR_　　ミラーマン
MKHR_      幕張
MKM_       魔界村
MMAX2_     ＭＥＴＡＬＭＡＸ２
MMR_       マガジンミステリー調査班
MMTT_　　　ママトト
MO23_	   燃える！ お兄さん
MOBIUS_    サイレントメビウス
MOON_	   MOON．
MOTHER_    ＭＯＴＨＥＲ
MOW_       餓狼MarkOfTheWolves
MP_	   マシーナの輝石
MPOPN_     マジカルポップン
MRC_　　　 燃えろ！ロボコン
MRMR_      ミラーマンＲＥＦＬＥＸ
MRT1_      メダロット
MRT2_      メダロット２
MRTR_      メダロットＲ
MRTRIN_    メダロッターりんたろう
MRTTV_     メダロット(アニメ)
MSF_       汎用ＳＦ
MSG_       まもって守護月天！
MSH_	   MARVEL VS CAPCOM
MSM_       魍魎戦記ＭＡＤＡＲＡ
MTA_       モスラ
MUG_       無限の住人
MVC_	   MARVEL VS CAPCOM
MZH_	   舞-乙HiME
NADIA_     ふしぎの海のナディア
NANOHA_    魔法少女リリカルなのは
NARUTO_　　NARUTO
NAU_       風の谷のナウシカ
NBC_	   ネオジオバトルコロシアム
NCP_       忍者キャプター
NHB_	   女犯坊
NMAS_      ニンジャマスターズ 覇王忍法帳
NOIR_	   NOIR
Nostradamus_ ノストラダムスの大予言
NOVA_　　　トーキョーＮ◎ＶＡ
NSW_       ナムコスーパーウォーズ
NW_	   ナイトウィザード
OB_        伝説のオウガバトル
ONE_　　　 ONE
ONEP_      ONE PIECE
ONK_       鬼切丸
ONMYOU_    陰陽師
OS_        星方武侠ＯＵＴＬＡＷＳＴＡＲ
OSB_       美味しんぼ
OTK_       魁！男塾
OY_        Ｏｎｌｙ Ｙｏｕ
OYUI_	   落語天女おゆい
OZ_        ＯＺ
PCS_	   ポポロクロイス物語
Phantom_   PhantomOfInferno
PASCHA_    ぱすてるチャイム
PASCHAC_   ぱすてるチャイムContinue
PB_	   ファントム・ブレイブ
PEPSI_     ペプシマン
PF_        サイキックフォース
PK_        ＰｒｉｎｃｅｓｓＫｎｉｇｈｔｓ
PKMN_      ポケットモンスター
PLM_       破裏拳ポリマー
PLOST_     PARADISELOST
PLV_       王子さまLv1
PM_        プリンセスメーカー
PRA_	   プリズム・アーク
PRICCHI_   プリンセスうぃっちぃず
PRSN_      女神異聞録ペルソナ
PSM_	   ファンタシースター千年紀の終りに
PST1_	   ファンタシースター
PST2_	   ファンタシースター２
PVM_       吸血姫美夕 
PVY_       吸血姫夕維
PW_	   プリンセスワルツ
PSYREN_	   ＰＳＹＲＥＮ
R1&2_      仮面ライダー
R12_       らんま１／２
R555_      仮面ライダー５５５
RA_        仮面ライダーアマゾン
RAG_       仮面ライダーアギト
RAMEN_     闘将！！拉麺男
RAMN_      レインボーマン
RANCE_     ランス
RAYS_      ＲＡＹＳＴＯＲＭ
RB_        仮面ライダーＢＬＡＣＫ
RBN_       スーパーロボットレッドバロン
RBRX_      仮面ライダーＢＬＡＣＫ・ＲＸ
RCK_       ロボット刑事
RCK_       ロボット刑事Ｋ
RCOP_      ＲＯＢＯＣＯＰ
RDJ_       仮面ライダーＪ
RDV_　　　 ベルサイユのばら
RDX_       仮面ライダーＸ
RED_	   ＲＥＤ
REI_       超者ライディーン
Releaf_　　Ｒｅ－ｌｅａｆ
RHK_	   仮面ライダー響鬼
RIOT_      ライオット
RIVIERA_   約束の地リヴィエラ
RKD_	   魔弾戦記リュウケンドー
RKEN_      るろうに剣心
RKG_       仮面ライダークウガ
RL1_　　　 リフレインラブ
RM_        楽園の魔女たち
RMD_       ロックマンDASH
RMK2_　　　ロマンスは剣の輝き２
RMX_       ロックマンＸ
RMZ_	   ロックマンゼロ
RNK_       リングにかけろ
RO_        RAGNAROK-the-Animation
ROD_       R.O.D
RPGT01_    ＲＰＧツクールＳＵＰＥＲＤＡＮＴＥ
RPGT02_    ＲＰＧツクール２
RPGT03_	   ＲＰＧツクール３
RPGT04_	   ＲＰＧツクール４
RRK_       仮面ライダー龍騎
RS_        レイディアントシルバーガン
RSA_       レニフィルの冒険
RSK_       仮面ライダー(スカイライダー)
RSP1_      仮面ライダースーパー１
RST_       仮面ライダーストロンガー
RSN_       真・仮面ライダー
RUITOMO_   るいは智を呼ぶ
RUNAL_     ルナル・サーガ
RV3_       仮面ライダーＶ３
RW_        実在兵器
RZO_       仮面ライダーＺＯ
RZX_       仮面ライダーＺＸ
SAGA2_	   ＳａＧａ２秘宝伝説
SaGaF1_    サガフロンティア
SaGaF2_    サガフロンティア２
SaGaR1_    ロマンシングサ・ガ
SaGaR2_    ロマンシングサ・ガ２
SAGAR3_　　ロマンシングサ・ガ３
           ロマンシングサ・ガ汎用データ
SAN_　　　 三國志
SATR_      鎧伝サムライトルーパー
SBK_       三匹が斬る！！
SBM_　　　 宇宙海賊ミトの大冒険
SAYA_	   沙耶の唄
SBZ_       砂ぼうず
SC5_	   スペースチャンネル５
SCRYED_    スクライド
SD_        ザ・グレイトバトルⅣ
           ガイアセイバー
SDG_       SDガンダム
           ＳＤガンダム外伝騎士ガンダム物語
           ＳＤガンダム外伝騎士ガンダム物語～円卓の騎士～
SDGM_      ＳＤ頑駄無ＳＤ戦国伝
SDGNM_	   ＳＤ頑駄無伝説の大将軍編
SDR_       宇宙刑事シャイダー
SEGA_      セガ関連
SEGATA_    せがた三四郎
SEI_       星海の紋章
SEIDEN_    聖伝
SEN01_     秘密戦隊ゴレンジャー
SEN02_     ジャッカー電撃隊
SEN03_     バトルフィーバーＪ
SEN04_     電子戦隊デンジマン
SEN05_     太陽戦隊サンバルカン
SEN06_     大戦隊ゴーグルⅤ
SEN07_     科学戦隊ダイナマン
SEN08_     超電子バイオマン
SEN09_     電撃戦隊チェンジマン
SEN10_     超新星フラッシュマン
SEN11_     光戦隊マスクマン
SEN12_     超獣戦隊ライブマン
SEN13_     高速戦隊ターボレンジャー
SEN14_     地球戦隊ファイブマン
SEN15_     鳥人戦隊ジェットマン
SEN16_     恐竜戦隊ジュウレンジャー
SEN17_     五星戦隊ダイレンジャー
SEN18_     忍者戦隊カクレンジャー
SEN19_     超力戦隊オーレンジャー
